Id,Model,Price,Age_08_04,KM,HP,cc,Doors,Cylinders,Gears,Weight,Quarterly_Tax
214,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,11790,34,78677,110,1600,5,4,5,1105,85
215,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11450,40,78425,110,1600,5,4,5,1075,85
216,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13500,33,78108,90,2000,3,4,5,1170,210
217,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10950,33,77321,110,1600,5,4,5,1075,85
218,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,33,75699,69,1900,3,4,5,1105,185
219,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,41,75697,97,1400,3,4,5,1025,69
220,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,44,74846,97,1400,3,4,5,1025,69
221,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,38,74319,110,1600,5,4,5,1075,85
222,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,11950,43,74285,110,1600,5,4,5,1075,85
223,TOYOTA Corolla 1.6 HB LINEA SOL 4/5-Doors,12450,44,74172,110,1600,5,4,5,1615,163
224,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,40,73042,110,1598,5,4,5,1075,85
225,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,14950,44,71793,110,1600,4,4,5,1067,197
226,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,35,71200,110,1600,5,4,5,1075,85
227,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,38,67805,110,1600,5,4,5,1075,85
228,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11950,35,65988,110,1600,3,4,5,1040,69
229,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11690,34,65345,97,1400,5,4,5,1060,85
230,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12450,42,64564,110,1600,5,4,5,1080,85
231,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12750,36,63459,97,1400,5,4,5,1060,85
232,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11925,44,63451,97,1400,3,4,5,1025,69
233,TOYOTA Corolla LIFTBACK 1.6-16v Linea Luna 4/5-Doors,12950,33,62000,110,1600,5,4,5,1075,19
234,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11950,42,61300,97,1400,3,4,5,1030,69
235,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12900,41,61200,110,1600,3,4,5,1045,69
236,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11900,41,61000,110,1600,5,4,5,1075,85
237,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11650,38,60829,110,1600,5,4,5,1075,85
238,TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,10950,44,60500,110,1600,5,4,5,1075,85
239,TOYOTA Corolla 1.9 D HB SOL 2/3-Doors,13950,35,59500,69,1900,3,4,5,1110,64
240,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL AUT4 4/5-Doors,13950,44,59000,110,1600,5,4,5,1110,85
241,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,11950,40,58954,110,1600,5,4,5,1080,85
242,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10950,38,58798,110,1600,5,4,5,1075,85
243,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12450,38,58363,110,1600,3,4,5,1055,85
244,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11950,43,58277,110,1600,3,4,5,1045,69
245,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,33,57711,90,2000,3,4,5,1165,210
246,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11690,33,57269,110,1600,5,4,5,1075,85
247,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13500,39,56001,110,1600,5,4,5,1075,85
248,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,11950,42,55968,110,1600,3,4,5,1050,69
249,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12900,39,55678,110,1600,4,4,5,1030,69
250,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,13500,43,55539,110,1600,5,4,5,1085,85
251,TOYOTA Corolla 1.6 GL LB 4/5-Doors,11750,42,55400,110,1600,5,4,5,1075,85
252,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,33,55350,110,1600,5,4,5,1075,85
253,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10850,43,54600,110,1600,4,4,5,1030,69
254,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,43,53773,110,1600,5,4,5,1075,85
255,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,14950,42,53719,110,1600,5,4,5,1105,85
256,TOYOTA Corolla 1.6 Terra 5-Doors Liftback 4/5-Doors,9940,39,53644,110,1600,5,4,5,1075,19
257,TOYOTA Corolla 1.6-16v Linea Terra LB 4/5-Doors,12900,42,53350,110,1600,5,4,5,1075,85
258,TOYOTA Corolla 1.6I Luna liftback 4/5-Doors,13500,38,53000,110,1600,5,4,5,1075,85
259,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,44,52084,97,1400,3,4,5,1025,69
260,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,44,52000,97,1400,3,4,5,1025,69
261,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,33,51945,110,1600,5,4,5,1075,85
262,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,51732,97,1400,3,4,5,1025,69
263,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12495,39,50873,110,1600,5,4,5,1075,85
264,TOYOTA Corolla 1.6 Linea Terra Sedan 4/5-Doors,13500,41,50856,110,1600,4,4,5,1030,69
265,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,40,50640,110,1600,5,4,5,1075,85
266,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12000,39,50000,97,1400,5,4,5,1060,85
267,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,38,49500,110,1600,5,4,5,1075,85
268,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12495,44,49332,110,1600,5,4,5,1080,85
269,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12450,34,49291,110,1600,3,4,5,1040,69
270,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,40,48952,90,2000,5,4,5,1205,210
271,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,39,48945,110,1600,3,4,5,1040,69
272,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,33,48928,69,1900,3,4,5,1105,185
273,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,38,48197,110,1600,5,4,5,1075,85
274,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,35,48052,69,1900,3,4,5,1105,185
275,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,13450,34,48011,110,1600,4,4,5,1030,69
276,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,13500,43,48000,110,1600,5,4,5,1075,85
277,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11480,41,47350,110,1600,5,4,5,1075,85
278,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,13450,39,46821,97,1400,5,4,5,1060,85
279,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11495,39,46694,110,1600,3,4,5,1040,69
280,TOYOTA Corolla 1.4 VVTI L.Terra HB 4/5-Doors,12750,43,46515,97,1400,5,4,5,1025,69
281,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,38,46327,110,1600,3,4,5,1055,85
282,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,46304,97,1400,5,4,5,1060,85
283,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,45886,110,1600,5,4,5,1080,85
284,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,12850,39,45713,97,1400,5,4,5,1085,19
285,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,13950,40,45600,110,1600,5,4,5,1105,85
286,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,45287,110,1600,5,4,5,1075,85
287,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,45081,110,1600,5,4,5,1075,85
288,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11700,40,44830,110,1600,5,4,5,1075,85
289,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,37,44757,97,1400,3,4,5,1025,69
290,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,44,44218,97,1400,5,4,5,1060,85
291,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,43,43632,110,1600,5,4,5,1075,85
292,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,36,43427,110,1600,3,4,5,1040,69
293,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13875,39,43254,110,1600,5,4,5,1075,85
294,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,10500,35,43000,110,1600,3,4,5,1050,69
295,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12295,33,42823,110,1600,5,4,5,1075,85
296,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,42,42560,110,1600,5,4,5,1080,85
297,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,38,41754,110,1600,3,4,5,1040,69
298,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12950,44,41499,110,1600,5,4,5,1103,197
299,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12850,40,41339,110,1600,5,4,5,1080,85
300,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13995,35,41000,110,1600,5,4,5,1075,85
301,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,13750,39,40000,110,1600,3,4,5,1055,85
302,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,37,39757,110,1600,5,4,5,1075,85
303,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12500,41,39659,110,1600,3,4,5,1045,69
304,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,13950,43,39650,110,1600,3,4,5,1055,85
305,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,39,39524,97,1398,3,4,5,1025,69
306,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,13950,44,39516,97,1400,5,4,5,1060,85
307,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,41,39439,97,1400,5,4,5,1060,85
308,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,44,39000,97,1400,3,4,5,1025,69
309,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 2/3-Doors,13500,42,38932,110,1600,3,4,5,1040,69
310,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,37,38812,97,1400,3,4,5,1025,69
311,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12450,42,38665,110,1600,5,4,5,1075,85
312,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,38653,110,1600,5,4,5,1080,85
313,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13995,44,38461,110,1600,5,4,5,1080,85
314,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,42,38078,97,1400,3,4,5,1025,69
315,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11650,39,37782,97,1400,5,4,5,1060,85
316,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,9950,43,37576,97,1400,3,4,5,1030,69
317,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13950,41,37533,110,1600,5,4,5,1075,85
318,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,44,37389,110,1600,5,4,5,1080,85
319,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,38,37320,97,1400,3,4,5,1025,69
320,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9900,42,37000,97,1400,3,4,5,1025,69
321,TOYOTA Corolla 1.6 SDN LINEA TERRA 4/5-Doors,11950,44,37000,110,1600,4,4,5,1075,19
322,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11990,40,36566,110,1600,5,4,5,1090,85
323,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10750,36,36269,110,1600,5,4,5,1075,85
324,TOYOTA Corolla 1.6 VVTi Linea terra 4/5-Doors,13950,37,36074,110,1600,5,4,5,1075,19
325,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11250,44,36066,110,1600,3,4,5,1040,69
326,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,34599,110,1600,5,4,5,1075,85
327,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,34000,110,1600,5,4,5,1075,85
328,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,42,33623,97,1400,3,4,5,1025,69
329,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,33,33591,110,1600,5,4,5,1075,85
330,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,33258,110,1600,5,4,5,1075,85
331,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11695,43,33113,110,1600,5,4,5,1075,85
332,TOYOTA Corolla 1.6v VVT-i Linea Sol 4/5-Doors,11000,41,33000,110,1600,5,4,6,1075,19
333,ÊTOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,35,32941,110,1600,5,4,5,1080,85
334,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,38,32781,110,1600,5,4,5,1075,85
335,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11750,40,32532,110,1600,3,4,5,1040,69
336,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12400,34,32431,97,1400,5,4,5,1060,85
337,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,35,32000,110,1600,3,4,5,1040,69
339,TOYOTA Corolla 1.6I LIFTBACK 4/5-Doors,12900,33,31000,110,1600,5,4,5,1075,19
340,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12200,41,30989,110,1600,3,4,5,1045,69
341,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12750,43,30742,110,1600,3,4,5,1040,69
342,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,42,30190,110,1600,5,4,5,1075,85
343,TOYOTA Corolla Liftback 1.6 VVTI 4/5-Doors,11900,41,29716,116,1600,5,4,5,1075,85
344,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11950,44,29716,110,1600,3,4,5,1070,85
345,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14950,42,29640,110,1600,3,4,5,1055,85
346,ÊTOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11950,41,29056,97,1400,5,4,5,1060,85
347,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12950,33,28715,110,1600,5,4,5,1075,85
348,ÊTOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,14950,41,28571,110,1600,5,4,5,1090,85
349,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,13450,40,28362,110,1600,3,4,5,1040,69
350,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13750,38,28150,110,1600,5,4,5,1075,85
351,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,43,27301,110,1600,3,4,5,1040,69
352,ÊTOYOTA Corolla 1.6 Terra LB Comf. 4/5-Doors,12750,33,27240,110,1600,5,4,5,1075,85
353,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,39,27170,97,1400,5,4,5,1060,85
354,ÊTOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,42,27141,97,1400,5,4,5,1060,85
355,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,38,26262,110,1600,5,4,5,1075,85
356,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12500,38,26000,97,1400,5,4,5,1060,85
357,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,14950,43,25228,110,1600,3,4,5,1045,69
358,ÊTOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13750,39,25062,110,1600,5,4,5,1080,85
359,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,12695,39,24723,110,1600,4,4,5,1060,85
360,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,33,24650,110,1600,3,4,5,1055,85
361,ÊTOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12750,43,24553,110,1600,5,4,5,1080,85
362,ÊTOYOTA Corolla 1.6 VVTi Terra Comfort 4/5-Doors,14350,41,24475,110,1600,5,4,5,1030,69
363,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,39,24444,110,1600,3,4,5,1040,69
364,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,35,24011,97,1400,3,4,5,1025,69
365,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,24000,97,1400,3,4,5,1025,69
366,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,40,23616,110,1600,5,4,5,1075,85
367,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12900,38,22865,110,1600,5,4,5,1075,85
368,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,10500,41,22780,86,1300,5,4,5,1035,69
369,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,35,21904,97,1400,3,4,5,1025,69
370,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,21651,97,1400,3,4,5,1025,69
371,TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 4/5-Doors,11450,37,21500,110,1600,5,4,5,1030,69
372,ÊTOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13250,44,21027,110,1600,5,4,5,1080,85
373,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10250,39,18500,110,1600,4,4,5,1030,69
374,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13995,35,18000,110,1600,5,4,5,1075,85
375,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11950,40,17051,97,1400,5,4,5,1060,85
376,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,13250,33,16512,97,1400,5,4,5,1085,19
377,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,16325,110,1600,5,4,5,1080,85
378,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11750,38,16000,97,1400,5,4,5,1060,85
379,TOYOTA Corolla 1.6 Linea Terra LB 4/5-Doors,11500,39,12000,110,1600,5,4,5,1075,85
380,TOYOTA Corolla 1.4 VVTI LB 4/5-Doors,13500,43,10000,97,1400,5,4,5,1060,85
381,ÊTOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,6500,53,216000,69,1900,3,4,5,1110,185
382,TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,6400,51,198167,69,1900,4,4,5,1095,185
383,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,7000,53,176000,69,1900,3,4,5,1105,185
384,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,7750,54,174139,72,2000,4,4,5,1100,185
385,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,8900,45,174000,69,1900,5,4,5,1095,185
386,TOYOTA Corolla 1.6 VVTi Linea terra 2/3-Doors,8500,55,150000,110,1600,3,4,5,1075,72
387,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,8950,54,149329,72,2000,5,4,5,1135,185
388,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9900,51,146736,110,1600,5,4,5,1080,85
389,TOYOTA Corolla 1.9 D LIFTB LUNA 4/5-Doors,10250,53,143513,69,1900,5,4,5,1140,185
390,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9250,48,142130,110,1600,5,4,5,1119,197
391,TOYOTA Corolla 1.9 D WGN LINEA TERRA Stationwagen,7750,48,140700,69,1900,5,4,5,1110,64
392,ÊTOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,9450,54,138394,69,1900,4,4,5,1095,185
393,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,7750,55,137000,72,2000,5,4,5,1135,185
394,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,8250,52,135258,69,1900,5,4,5,1140,185
395,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9950,49,131364,110,1600,5,4,5,1075,85
396,TOYOTA Corolla 1.8D Stationwagen,4450,56,129155,69,1800,5,4,5,1110,64
397,ÊTOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,9950,50,126110,110,1600,3,4,5,1055,85
398,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9000,48,119742,110,1600,5,4,5,1080,85
399,TOYOTA Corolla 1.9 D LB LINEA SOL 4/5-Doors,9950,53,117913,69,1900,5,4,5,1110,64
400,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,12450,47,117430,90,2000,3,4,5,1165,210
401,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10500,55,117175,110,1600,4,4,5,1035,69
402,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10750,54,115558,110,1600,4,4,5,1035,69
403,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,115113,97,1400,3,4,5,1025,69
404,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,10500,54,115046,69,1900,5,4,5,1140,185
405,TOYOTA Corolla 2.0D 4/5-Doors,5150,56,113997,72,2000,5,4,5,1135,64
406,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,49,107859,97,1400,5,4,5,1060,85
407,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9450,52,104805,97,1400,3,4,5,1025,69
408,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9950,54,103454,110,1600,5,4,5,1075,85
409,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,10950,51,103018,69,1900,5,4,5,1140,185
410,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11900,47,102352,110,1600,5,4,5,1080,85
411,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,50,102030,97,1400,5,4,5,1060,85
412,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,101352,110,1600,5,4,5,1080,85
413,TOYOTA Corolla 1.6 16v TERRA 4/5-Doors,7900,50,99865,110,1600,4,4,5,1035,69
414,ÊTOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10950,52,99323,110,1600,3,4,5,1055,85
415,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,8950,48,98100,69,1900,5,4,5,1140,185
416,ÊTOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11950,51,98040,110,1600,5,4,5,1080,85
417,TOYOTA Corolla 1.6 HB SOL 2/3-Doors,10900,49,97600,110,1600,3,4,5,1045,69
418,ÊTOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9950,55,97234,110,1600,5,4,5,1080,85
419,ÊTOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,9950,51,96135,72,2000,3,4,5,1115,185
420,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,96100,110,1600,5,4,5,1080,85
421,ÊTOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,8950,55,94401,72,2000,3,4,5,1115,185
422,ÊTOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8950,55,94122,86,1300,3,4,5,1015,69
423,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10500,49,91340,110,1600,3,4,5,1055,85
424,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,90200,97,1400,3,4,5,1025,69
425,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,9250,53,90097,69,1900,5,4,5,1140,185
426,ÊTOYOTA Corolla LIFTBACK 1.4 VVT-i LINEA TERRA 4/5-Doors,11500,48,89049,97,1400,5,4,5,1060,85
427,ÊTOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9750,52,89000,110,1600,5,4,5,1075,85
428,ÊTOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,9950,45,87274,110,1600,3,4,5,1040,69
429,ÊTOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11450,49,86221,110,1600,3,4,5,1045,69
430,TOYOTA Corolla 1.6 VVT-i L. Sol Wagon Stationwagen,12500,54,84598,110,1600,5,4,5,1075,19
431,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,83567,110,1600,5,4,5,1075,85
432,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,50,83106,110,1600,5,4,5,1075,85
433,ÊTOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12200,50,82805,110,1600,3,4,5,1040,69
